"428";"C.P.Solventul 2tb"
"429";"M.Eminescu 1tb"
"430";"Tv_Gara  Nord 1"
"431";"Tv_R Carol 1"
"432";"Tv_Mocioni 1"
"433";"Tv_P-ta Maria 3"
"434";"Tv_Spital de Copii1"
"435";"Tv_P-ta 700 1"
"436";"Tv_Libertatii 1"
"437";"Tv_Continental 1"
"438";"Tv_Prefectura 1"
"439";"Tv_3 August 1"
"440";"Tv_P-ta Traian 1"
"441";"Tv_P Turcesc 1"
"442";"Tv_Sarmiseg 1"
"443";"Tv_Lalelelor 1"
"444";"Tv_Economu 1"
"445";"Tv_V.Babes 1"
"446";"Tv_Meteo 1"
"447";"Tv_U.M.T - gara"
"448";"Tv_Electrica 1"
"449";"Tv_Gara  Est 1"
"450";"Tv_B.Cartan 1"
"451";"Tv_P-ta Traian 2"
"452";"Tv_3 August 2"
"453";"Tv_Prefectura 2"
"454";"Tv_Continental 2"
"455";"Tv_Libertatii 2"
"456";"Tv_P-ta 700 2"
"457";"Tv_Spital de Copii2"
"458";"Tv_Catedrala 2"
"459";"Tv_P-ta Maria 2"
"460";"Tv_Mocioni 2"
"461";"Tv_R Carol 2"
"462";"Tv_Gara  Nord 2"
"463";"Tv_Dambovita 1"
"464";"Tv_Crizantem_1"
"465";"Tv_Mangalia 1"
"466";"Tv_I Maniu 1"
"467";"Regele Carol_3"
"468";"Tv_B.Cartan 2"
"469";"Tv_Gara  Est 2"
"470";"Tv_Electrica 2"
"471";"U.M.T_2"
"472";"Tv_Meteo 2"
"473";"Tv_V.Babes 2"
"474";"Tv_Economu 2"
"475";"Tv_Lalelelor 2"
"476";"Tv_Sarmiseg 2"
"477";"Tv_I Maniu 2"
"478";"Tv_Mangalia 2"
"479";"Tv_Crizantem 2"
"480";"Tv_Dambovita 2"
"481";"Tv_Torontal 1"
"482";"Tv_M.Basarab 1"
"483";"Tv_Amforei 1"
"484";"Tv_Mendeleev 1"
"485";"Tv_Circumv 1"
"486";"Parc Doina_1"
"487";"Balcescu_1"
"488";"P-ta Crucii_1"
"489";"Str.Cluj_1"
"490";"Olimpia_1"
"491";"Deliblata_1"
"492";"Banatim_4"
"493";"Tv_Detergenti 1"
"494";"Tv_Mecatim 1"
"495";"Tv_Spumotim 1"
"496";"Tv_Domasnean 1"
"497";"Tv_Electrotim 1"
"498";"Tv_IOT 1"
"499";"Tv_Ciarda R 1"
"500";"Tv_Ciarda R 2"
"501";"Tv_IOT 2"
"502";"Tv_Electrotim 2"
"503";"Tv_Domasnean 2"
"504";"Tv_Spumotim 2"
"505";"Tv_Mecatim 2"
"506";"Tv_Detergenti 2"
"507";"Deliblata_2"
"508";"Olimpia_2"
"509";"Str.Cluj_2"
"510";"P-ta Crucii_2"
"511";"Balcescu_2"
"512";"Parc Doina_2"
"513";"Tv_P-ta Maria 1"
"514";"Brediceanu_1"
"515";"Tv_Circumv 2"
"516";"Tv_Mendeleev 2"
"517";"Tv_BaltaVerde 2"
"518";"Tv_Cetatii  2"
"519";"Tv_Amforei 2"
"520";"Tv_M.Basarab 2"
"521";"Tv_Torontal 2"
"522";"Ronat_1"
"523";"Razboieni_1"
"524";"A.Guttenbrun_1"
"525";"Madona_1"
"526";"A.Lapusneanu_1"
"527";"Macilor_1"
"528";"Zalau_1"
"529";"BaltaVerde 3"
"530";"Gara Est bucla"
"531";"Gara Est_p"
"532";"P-ta Traian p"
"533";"Banatim_3"
"534";"BaltaVerde 4"
"535";"Macilor_2"
"536";"A.Guttenbrun_2"
"537";"Razboieni_2"
"538";"Ronat_2"
"539";"Brediceanu_2"
"540";"P-ta Traian 1a"
"541";"Tv_P-ta Traian pl"
"542";"Memorandului"
"543";"Drubeta_4"
"544";"Lidia"
"545";"Tv-Mures"
"546";"Pavlov"
"547";"Progresul"
"548";"Veteranilor."
"549";"Transilvania_3"
"550";"Banatul_1"
"551";"Banatul_2"
"552";"Transilvania_2"
"553";"Veteranilor.."
"554";"Izlaz_"
"555";"Progresul_"
"556";"Pavlov_"
"557";"Tv-Mures_"
"558";"Lidia_"
"559";"Drubeta _3"
"560";"Memorandului_"
"561";"Domasnean_3"
"562";"Bv Sudului_1"
"563";"Sp Judetean_1"
"564";"C.Martirilor_1"
"565";"Salcamilor_1"
"566";"Drubeta_1"
"567";"Brancoveanu"
"568";"Gh.Ranetti_1"
"569";"L.Rebreanu_1"
"570";"Transilvania_1"
"571";"L.Rebreanu_2"
"572";"Gh.Ranetti_2"
"573";"Brancoveanu_2"
"574";"Drubeta_2"
"575";"Salcamilor_2"
"576";"C.Martirilor_2"
"577";"Sp Judetean_2"
"578";"Bv Sudului_2"
"579";"Domasnean_4"
